"Source Name"	"Protocol REF"	"Characteristics[organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[strain]"	"Term Source REF"	"Term Accession Number"	"Comment[Animal Source]"	"Characteristics[sex,http://purl.obolibrary.org/obo/PATO_0000047,EFO]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Age at Launch]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Characteristics[Diet]"	"Term Source REF"	"Term Accession Number"	"Comment[Feeding Schedule]"	"Factor Value[Spaceflight]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Light Cycle,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C90419,NCIT]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[habitat,http://purl.obolibrary.org/obo/ENVO_01000739,ENVO]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[duration,http://www.ebi.ac.uk/efo/EFO_0000433,EFO]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Euthanasia Chemical]"	"Term Source REF"	"Term Accession Number"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Sample Name"	"Comment[Initiation Date]"	"Comment[Completion Date]"	"Comment[Original Submitted Sample Name]"	"Parameter Value[Sample Preservation Method]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample Storage Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"
"RRRM-2_BL_LAR_01"	"Animal Husbandry"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6NTac"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0020093"	"Taconic Biosciences"	"Female"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D005260"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"OSD"	"https://osdr.nasa.gov/"	"ad libitum"	"Basal Control"	"OSD"	"https://osdr.nasa.gov/"	"12 h light: 12 h dark. Lights on time not available."	""	""	"Not Applicable"	""	""	""	""	""	""	"sample collection"	"Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Gas anesthesia"	""	""	"heart right ventricle"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002080"	"RRRM2_HRT_BSL_LAR_YNG_BY1"	""	""	""	"Liquid Nitrogen"	"NCIT"	"http://purl.obolibrary.org/obo/NCIT_C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"RRRM-2_BL_LAR_03"	"Animal Husbandry"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6NTac"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0020093"	"Taconic Biosciences"	"Female"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D005260"	"29"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"OSD"	"https://osdr.nasa.gov/"	"ad libitum"	"Basal Control"	"OSD"	"https://osdr.nasa.gov/"	"12 h light: 12 h dark. Lights on time not available."	""	""	"Not Applicable"	""	""	""	""	""	""	"sample collection"	"Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Gas anesthesia"	""	""	"heart right ventricle"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002080"	"RRRM2_HRT_BSL_LAR_OLD_BO3"	""	""	""	"Liquid Nitrogen"	"NCIT"	"http://purl.obolibrary.org/obo/NCIT_C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"RRRM-2_BL_LAR_05"	"Animal Husbandry"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6NTac"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0020093"	"Taconic Biosciences"	"Female"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D005260"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"OSD"	"https://osdr.nasa.gov/"	"ad libitum"	"Basal Control"	"OSD"	"https://osdr.nasa.gov/"	"12 h light: 12 h dark. Lights on time not available."	""	""	"Not Applicable"	""	""	""	""	""	""	"sample collection"	"Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Gas anesthesia"	""	""	"heart right ventricle"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002080"	"RRRM2_HRT_BSL_LAR_YNG_BY5"	""	""	""	"Liquid Nitrogen"	"NCIT"	"http://purl.obolibrary.org/obo/NCIT_C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"RRRM-2_BL_LAR_07"	"Animal Husbandry"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6NTac"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0020093"	"Taconic Biosciences"	"Female"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D005260"	"29"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"OSD"	"https://osdr.nasa.gov/"	"ad libitum"	"Basal Control"	"OSD"	"https://osdr.nasa.gov/"	"12 h light: 12 h dark. Lights on time not available."	""	""	"Not Applicable"	""	""	""	""	""	""	"sample collection"	"Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Gas anesthesia"	""	""	"heart right ventricle"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002080"	"RRRM2_HRT_BSL_LAR_OLD_BO7"	""	""	""	"Liquid Nitrogen"	"NCIT"	"http://purl.obolibrary.org/obo/NCIT_C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"RRRM-2_BL_LAR_09"	"Animal Husbandry"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6NTac"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0020093"	"Taconic Biosciences"	"Female"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D005260"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"OSD"	"https://osdr.nasa.gov/"	"ad libitum"	"Basal Control"	"OSD"	"https://osdr.nasa.gov/"	"12 h light: 12 h dark. Lights on time not available."	""	""	"Not Applicable"	""	""	""	""	""	""	"sample collection"	"Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Gas anesthesia"	""	""	"heart right ventricle"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002080"	"RRRM2_HRT_BSL_LAR_YNG_BY9"	""	""	""	"Liquid Nitrogen"	"NCIT"	"http://purl.obolibrary.org/obo/NCIT_C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"RRRM-2_BL_LAR_11"	"Animal Husbandry"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6NTac"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0020093"	"Taconic Biosciences"	"Female"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D005260"	"29"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"OSD"	"https://osdr.nasa.gov/"	"ad libitum"	"Basal Control"	"OSD"	"https://osdr.nasa.gov/"	"12 h light: 12 h dark. Lights on time not available."	""	""	"Not Applicable"	""	""	""	""	""	""	"sample collection"	"Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Gas anesthesia"	""	""	"heart right ventricle"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002080"	"RRRM2_HRT_BSL_LAR_OLD_BO11"	""	""	""	"Liquid Nitrogen"	"NCIT"	"http://purl.obolibrary.org/obo/NCIT_C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"RRRM-2_BL_LAR_13"	"Animal Husbandry"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6NTac"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0020093"	"Taconic Biosciences"	"Female"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D005260"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"OSD"	"https://osdr.nasa.gov/"	"ad libitum"	"Basal Control"	"OSD"	"https://osdr.nasa.gov/"	"12 h light: 12 h dark. Lights on time not available."	""	""	"Not Applicable"	""	""	""	""	""	""	"sample collection"	"Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Gas anesthesia"	""	""	"heart right ventricle"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002080"	"RRRM2_HRT_BSL_LAR_YNG_BY13"	""	""	""	"Liquid Nitrogen"	"NCIT"	"http://purl.obolibrary.org/obo/NCIT_C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"RRRM-2_BL_LAR_15"	"Animal Husbandry"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6NTac"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0020093"	"Taconic Biosciences"	"Female"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D005260"	"29"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"OSD"	"https://osdr.nasa.gov/"	"ad libitum"	"Basal Control"	"OSD"	"https://osdr.nasa.gov/"	"12 h light: 12 h dark. Lights on time not available."	""	""	"Not Applicable"	""	""	""	""	""	""	"sample collection"	"Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Gas anesthesia"	""	""	"heart right ventricle"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002080"	"RRRM2_HRT_BSL_LAR_OLD_BO15"	""	""	""	"Liquid Nitrogen"	"NCIT"	"http://purl.obolibrary.org/obo/NCIT_C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"RRRM-2_BL_LAR_17"	"Animal Husbandry"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6NTac"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0020093"	"Taconic Biosciences"	"Female"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D005260"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"OSD"	"https://osdr.nasa.gov/"	"ad libitum"	"Basal Control"	"OSD"	"https://osdr.nasa.gov/"	"12 h light: 12 h dark. Lights on time not available."	""	""	"Not Applicable"	""	""	""	""	""	""	"sample collection"	"Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Gas anesthesia"	""	""	"heart right ventricle"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002080"	"RRRM2_HRT_BSL_LAR_YNG_BY17"	""	""	""	"Liquid Nitrogen"	"NCIT"	"http://purl.obolibrary.org/obo/NCIT_C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"RRRM-2_BL_LAR_19"	"Animal Husbandry"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6NTac"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0020093"	"Taconic Biosciences"	"Female"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D005260"	"29"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"OSD"	"https://osdr.nasa.gov/"	"ad libitum"	"Basal Control"	"OSD"	"https://osdr.nasa.gov/"	"12 h light: 12 h dark. Lights on time not available."	""	""	"Not Applicable"	""	""	""	""	""	""	"sample collection"	"Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Gas anesthesia"	""	""	"heart right ventricle"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002080"	"RRRM2_HRT_BSL_LAR_OLD_BO19"	""	""	""	"Liquid Nitrogen"	"NCIT"	"http://purl.obolibrary.org/obo/NCIT_C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"RRRM-2_FL_ISS_01"	"Animal Husbandry"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6NTac"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0020093"	"Taconic Biosciences"	"Female"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D005260"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"OSD"	"https://osdr.nasa.gov/"	"ad libitum"	"Space Flight"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D013026"	"12 h light: 12 h dark. Lights on time not available."	""	""	"Rodent Flight Hardware (Transporter and Habitat)"	""	""	""	""	""	""	"sample collection"	"Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection"	""	""	"Heart"	"FMA"	"http://purl.org/sig/ont/fma/fma7088"	"RRRM2_HRT_FLT_ISS-T_YNG_FY1"	""	""	""	"RNAlater for 48-72 hours at 4C"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"RRRM-2_FL_ISS_03"	"Animal Husbandry"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6NTac"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0020093"	"Taconic Biosciences"	"Female"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D005260"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"OSD"	"https://osdr.nasa.gov/"	"ad libitum"	"Space Flight"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D013026"	"12 h light: 12 h dark. Lights on time not available."	""	""	"Rodent Flight Hardware (Transporter and Habitat)"	""	""	""	""	""	""	"sample collection"	"Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection"	""	""	"Heart"	"FMA"	"http://purl.org/sig/ont/fma/fma7088"	"RRRM2_HRT_FLT_ISS-T_YNG_FY3"	""	""	""	"RNAlater for 48-72 hours at 4C"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
